技能名称,熟练度,使用工具,优先级,所属领域,学习资源,近期目标,日期
产品规划,小白,"效率工具,协作平台",高,"产品, 管理",,学习用户研究和需求分析方法,
项目架构,小白,,高,,,,
C语言,入门,,高,,,,
C++,入门,,高,,,,
Java,入门,,中,,,,
Kotlin,小白,,中,,,,
Python,入门,"开发工具,版本控制",中,"技术, 研发",,掌握高级数据结构和算法设计,
机器学习,入门,,中,,,,
深度学习,入门,,中,,,,
Qt,入门,,中,,,,
Node.js,入门,,高,,,,
Vue.js,入门,,高,,,,
驱动开发,入门,"设计软件,协作平台",中,设计,,掌握Figma基础操作和设计规范,
数字电路设计,入门,,中,,,,
PCB设计,入门,,中,,,,
英语,入门,,,,,,
日语,小白,,,,,,
2D绘画,入门,,中,,,,
3D建模,小白,,低,,,,
动画制作,小白,,低,,,,
中餐,入门,,低,,,,
西点,小白,,低,,,,
日料,小白,,低,,,,
电子音乐,小白,,低,,,,
配音,小白,,低,,,,
阅读,入门,,高,,,,
写作,小白,,中,,,,
健身,入门,,高,,,,
骑行,入门,,中,,,,
足球,入门,,低,,,,
象棋,入门,,低,,,,
乒乓球,入门,,低,,,,
羽毛球,入门,,低,,,,
家庭顾问,小白,,低,,,,
